# generated_at_utc=2026-04-29T14:58:57+00:00
# node20_url=https://nodejs.org/download/release/latest-v20.x/docs/api/all.json
# node20_etag="6ad7aab45da329642a1c43356a17c3b3"
# node20_last_modified=Tue, 24 Mar 2026 03:28:14 GMT
# node22_url=https://nodejs.org/download/release/latest-v22.x/docs/api/all.json
# node22_etag="b205ea07cce12bde5a37c9b12078c400"
# node22_last_modified=Tue, 24 Mar 2026 04:15:15 GMT
# deno_compat_url=https://docs.deno.com/runtime/reference/node_apis/
# deno_compat_etag=W/"1b985-9UvrDk5GwfdlaQ/w1Oe4efXtGhp"
# deno_compat_last_modified=Wed, 22 Apr 2026 13:34:59 GMT
# deno_repo=/Users/jack/src/github.com/agentstation/deno
# deno_git_branch=locker-v2.7.14
# deno_git_commit=a2cc5bfdc77713c9028709f386dbd671dd3f1150
# generator_path=scripts/runtime/node/generate_matrix.py
module,symbol,kind,added_in,deprecated_in,node_status,notes
node:crypto,crypto.DiffieHellmanGroup,class,v0.7.5,,stable,
node:crypto,crypto.ECDH,class,v0.11.14,,stable,
node:crypto,crypto.ECDH.computeSecret,method,v0.11.14,,stable,
node:crypto,crypto.ECDH.generateKeys,method,v0.11.14,,stable,
node:crypto,crypto.ECDH.getPrivateKey,method,v0.11.14,,stable,
node:crypto,crypto.ECDH.getPublicKey,method,v0.11.14,,stable,
node:crypto,crypto.ECDH.setPrivateKey,method,v0.11.14,,stable,
node:crypto,crypto.ECDH.setPublicKey,method,v0.11.14,,deprecated,Deprecated
node:crypto,crypto.Hash,class,v0.1.92,,stable,
node:crypto,crypto.Hash.copy,method,v13.1.0,,stable,
node:crypto,crypto.Hash.digest,method,v0.1.92,,stable,
node:crypto,crypto.Hash.update,method,v0.1.92,,stable,
node:crypto,crypto.Hmac,class,v0.1.94,,stable,
node:crypto,crypto.Hmac.digest,method,v0.1.94,,stable,
node:crypto,crypto.Hmac.update,method,v0.1.94,,stable,
node:crypto,crypto.KeyObject,class,v11.6.0,,stable,
node:crypto,crypto.KeyObject.equals,method,v17.7.0,,stable,
node:crypto,crypto.KeyObject.export,method,v11.6.0,,stable,
node:crypto,crypto.KeyObject.toCryptoKey,method,v22.10.0,,stable,
node:crypto,crypto.Sign,class,v0.1.92,,stable,
node:crypto,crypto.Sign.sign,method,v0.1.92,,stable,
node:crypto,crypto.Sign.update,method,v0.1.92,,stable,
node:crypto,crypto.Verify,class,v0.1.92,,stable,
node:crypto,crypto.Verify.update,method,v0.1.92,,stable,
node:crypto,crypto.Verify.verify,method,v0.1.92,,stable,
node:crypto,crypto.X509Certificate,class,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.checkEmail,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.checkHost,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.checkIP,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.checkIssued,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.checkPrivateKey,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.toJSON,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.toLegacyObject,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.toString,method,v15.6.0,,stable,
node:crypto,crypto.X509Certificate.verify,method,v15.6.0,,stable,
node:crypto,crypto.checkPrime,method,v15.8.0,,stable,
node:crypto,crypto.checkPrimeSync,method,v15.8.0,,stable,
node:crypto,crypto.createCipheriv,method,v0.1.94,,stable,
node:crypto,crypto.createDecipheriv,method,v0.1.94,,stable,
node:crypto,crypto.createDiffieHellman,method,v0.11.12,,stable,
node:crypto,crypto.createDiffieHellmanGroup,method,v0.9.3,,stable,
node:crypto,crypto.createECDH,method,v0.11.14,,stable,
node:crypto,crypto.createHash,method,v0.1.92,,stable,
node:crypto,crypto.createHmac,method,v0.1.94,,stable,
node:crypto,crypto.createPrivateKey,method,v11.6.0,,stable,
node:crypto,crypto.createPublicKey,method,v11.6.0,,stable,
node:crypto,crypto.createSecretKey,method,v11.6.0,,stable,
node:crypto,crypto.createSign,method,v0.1.92,,stable,
node:crypto,crypto.createVerify,method,v0.1.92,,stable,
node:crypto,crypto.diffieHellman,method,v13.9.0,,stable,
node:crypto,crypto.generateKey,method,v15.0.0,,stable,
node:crypto,crypto.generateKeyPair,method,v10.12.0,,stable,
node:crypto,crypto.generateKeyPairSync,method,v10.12.0,,stable,
node:crypto,crypto.generateKeySync,method,v15.0.0,,stable,
node:crypto,crypto.generatePrime,method,v15.8.0,,stable,
node:crypto,crypto.generatePrimeSync,method,v15.8.0,,stable,
node:crypto,crypto.getCipherInfo,method,v15.0.0,,stable,
node:crypto,crypto.getCiphers,method,v0.9.3,,stable,
node:crypto,crypto.getCurves,method,v2.3.0,,stable,
node:crypto,crypto.getDiffieHellman,method,v0.7.5,,stable,
node:crypto,crypto.getFips,method,v10.0.0,,stable,
node:crypto,crypto.getHashes,method,v0.9.3,,stable,
node:crypto,crypto.getRandomValues,method,v17.4.0,,stable,
node:crypto,crypto.hash,method,v21.7.0,,experimental,.2 - Release candidate
node:crypto,crypto.hkdf,method,v15.0.0,,stable,
node:crypto,crypto.hkdfSync,method,v15.0.0,,stable,
node:crypto,crypto.pbkdf2,method,v0.5.5,,stable,
node:crypto,crypto.pbkdf2Sync,method,v0.9.3,,stable,
node:crypto,crypto.privateDecrypt,method,v0.11.14,,stable,
node:crypto,crypto.privateEncrypt,method,v1.1.0,,stable,
node:crypto,crypto.publicDecrypt,method,v1.1.0,,stable,
node:crypto,crypto.publicEncrypt,method,v0.11.14,,stable,
node:crypto,crypto.randomBytes,method,v0.5.8,,stable,
node:crypto,crypto.randomFill,method,v7.10.0,,stable,
node:crypto,crypto.randomFillSync,method,v7.10.0,,stable,
node:crypto,crypto.randomInt,method,v14.10.0,,stable,
node:crypto,crypto.randomUUID,method,v15.6.0,,stable,
node:crypto,crypto.scrypt,method,v10.5.0,,stable,
node:crypto,crypto.scryptSync,method,v10.5.0,,stable,
node:crypto,crypto.secureHeapUsed,method,v15.6.0,,stable,
node:crypto,crypto.setEngine,method,v0.11.11,,stable,
node:crypto,crypto.setFips,method,v10.0.0,,stable,
node:crypto,crypto.sign,method,v12.0.0,,stable,
node:crypto,crypto.timingSafeEqual,method,v6.6.0,,stable,
node:crypto,crypto.verify,method,v12.0.0,,stable,
node:dgram,node:dgram,module,,,stable,placeholder module row; symbol extraction unresolved in first generated baseline
node:diagnostics_channel,diagnostics_channel.Channel,class,v15.1.0,,stable,
node:diagnostics_channel,diagnostics_channel.Channel.bindStore,method,v19.9.0,,experimental,Experimental
node:diagnostics_channel,diagnostics_channel.Channel.publish,method,v15.1.0,,stable,
node:diagnostics_channel,diagnostics_channel.Channel.runStores,method,v19.9.0,,experimental,Experimental
node:diagnostics_channel,diagnostics_channel.Channel.subscribe,method,v15.1.0,,stable,
node:diagnostics_channel,diagnostics_channel.Channel.unbindStore,method,v19.9.0,,experimental,Experimental
node:diagnostics_channel,diagnostics_channel.Channel.unsubscribe,method,v15.1.0,,stable,
node:diagnostics_channel,diagnostics_channel.TracingChannel,class,v19.9.0,,experimental,Experimental
node:diagnostics_channel,diagnostics_channel.TracingChannel.subscribe,method,v19.9.0,,stable,
node:diagnostics_channel,diagnostics_channel.TracingChannel.traceCallback,method,v19.9.0,,stable,
node:diagnostics_channel,diagnostics_channel.TracingChannel.tracePromise,method,v19.9.0,,stable,
node:diagnostics_channel,diagnostics_channel.TracingChannel.traceSync,method,v19.9.0,,stable,
node:diagnostics_channel,diagnostics_channel.TracingChannel.unsubscribe,method,v19.9.0,,stable,
node:diagnostics_channel,diagnostics_channel.asyncEnd,method,,,stable,
node:diagnostics_channel,diagnostics_channel.asyncStart,method,,,stable,
node:diagnostics_channel,diagnostics_channel.channel,method,v15.1.0,,stable,
node:diagnostics_channel,diagnostics_channel.child_process,event,,,stable,
